Altium Designer Pick and Place Locations
C:\Users\FrancisAllotey\ROMTech\Engineering - Electrical - Electrical\PCB Layouts\16515-SBC_TO_MC2_PCA\Project Outputs for 16515-SBC_TO_MC2_PCA\Pick Place\Pick Place for 16515.txt

========================================================================================================================
File Design Information:

Date:       15/03/23
Time:       10:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer    Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                       
U3         LTC4331CUFD#PBF        TopLayer 20-WFQFN                  1083.680      1239.210      0        "I2C Slave Device Extender Over Rugged Differential Link 20-QFN"                                                                                  
J8         "3 POS Header"         TopLayer 3_POS_Header              1365.000      945.000       0        "CONN HEADER VERT 3POS 2.54MM"                                                                                                                    
J7         95278-101A10LF         TopLayer Amphenol_95278-101A10LF_0 2627.520      600.000       90       "Conn Unshrouded Header HDR 10 POS 2.54mm Solder ST Top Entry SMD T/R"                                                                            
J4         95278-101A10LF         TopLayer Amphenol_95278-101A10LF_0 2755.000      2145.000      90       "Conn Unshrouded Header HDR 10 POS 2.54mm Solder ST Top Entry SMD T/R"                                                                            
J2         95278-101A10LF         TopLayer Amphenol_95278-101A10LF_0 2757.520      1405.000      90       "Conn Unshrouded Header HDR 10 POS 2.54mm Solder ST Top Entry SMD T/R"                                                                            
R20        "1.5 K"                TopLayer RESC1206X09N              1260.000      725.000       180      Resistor                                                                                                                                          
R19        10K                    TopLayer RESC1206X09N              1270.000      615.000       180      Resistor                                                                                                                                          
R18        2K                     TopLayer RESC1206X09N              3030.000      500.000       180      Resistor                                                                                                                                          
Q4         BSS138K                TopLayer SOT-23-3                  1525.000      650.000       0        "N-Channel 50V 220mA (Ta) 350mW (Ta) Surface Mount SOT-23-3"                                                                                      
R17        1k                     TopLayer RESC0805X06N              1210.000      2034.000      90       Resistor                                                                                                                                          
L4         "330 Ohms @100 Mhz"    TopLayer INDC0603X10N              735.394       2000.000      0        "10µH Unshielded Wirewound Inductor 80mA 360mOhm 0603 (1608 Metric)"                                                                              
C9         4.7uF                  TopLayer CAPC0603X10N              1090.000      1810.000      90       "4.7µF ±10% 35V Ceramic Capacitor X5R 0603 (1608 Metric)"                                                                                         
J3         6339160-1              TopLayer TE_6339160-1              381.102       1198.000      270      "PCB Mounted Jacks - Single Port, Multi-port and Stacked MJ, RJ45, SMT, SHLD, PANEL GRD"                                                          
X1         32MHz                  TopLayer BT-XTAL_2016              1735.000      2025.000      90       "32MHz ±10ppm Crystal 8pF 60 Ohms 4-SMD, No Lead"                                                                                                 
U2         BA033CC0FP-E2          TopLayer TO252-3_BA033CC0FP-E2     1000.000      2120.000      0        "Linear Voltage Regulator IC Positive Fixed 1 Output 1A TO-252"                                                                                   
U1         NRF52832-QFAA-R        TopLayer QFN40P600X600X90-48N      1855.906      1755.630      90       "IC RF TXRX+MCU BLUETOOTH 48QFN"                                                                                                                  
R16        1k                     TopLayer RESC0805X06N              1869.000      570.000       0        Resistor                                                                                                                                          
R15        2K                     TopLayer RESC1206X09N              1445.000      485.000       180      Resistor                                                                                                                                          
R14        1K                     TopLayer RESC0402X04N              1635.000      1160.000      180      "Resistor1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                
R13        10K                    TopLayer RESC0603X06N              1615.000      940.000       180      "RES SMD 10K OHM 1% 1/4W 0603"                                                                                                                    
R12        1K                     TopLayer RESC0402X04N              1395.000      1080.000      180      "Resistor1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                
R11        620R                   TopLayer RESC0402X04N              857.000       1190.331      90       "YAGEO - RC0402FR-07620RL - Surface Mount Chip Resistor, Thick Film, RC Series, 620 ohm, 63 mW, 1%, 50 V, 0402 [1005 Metric] RoHS Compliant: Yes" 
R10        10K                    TopLayer RESC0603X06N              1135.000      895.000       0        "RES SMD 10K OHM 1% 1/4W 0603"                                                                                                                    
